nba_id,player_name,season,age,tm_id,team_name,dpm,o_dpm,d_dpm,box_odpm,box_ddpm,on_off_odpm,on_off_ddpm
2124,Malik Allen,2002,23.80626437,1610612748,Miami Heat,-2.56386661,-2.094771285,-0.4690953255,-2.092403827,-0.4700484391,-2.20337026,-0.4428628416
2124,Malik Allen,2003,24.80013142,1610612748,Miami Heat,-3.751492475,-3.315190999,-0.436301476,-3.30609166,-0.7291876383,-3.335224771,-0.04939769484
2124,Malik Allen,2004,25.89256379,1610612748,Miami Heat,-2.587590909,-3.044712204,0.4571212955,-3.232972059,0.6019142178,-2.726329227,0.3101979852
2124,Malik Allen,2005,26.81524477,1610612766,Charlotte Hornets,-2.862139735,-2.504468025,-0.3576717095,-2.517811046,-0.2663827822,-2.485085369,-0.4372378867
2124,Malik Allen,2006,27.85291863,1610612741,Chicago Bulls,-1.779039964,-2.389191194,0.6101512292,-2.196581741,0.5123791181,-2.616030733,0.6792399899
2124,Malik Allen,2007,28.88785456,1610612741,Chicago Bulls,-2.156756972,-2.577608444,0.4208514711,-2.909639789,-0.4671213877,-2.239766212,0.9629594435
2124,Malik Allen,2008,29.84065272,1610612742,Dallas Mavericks,-1.223665374,-2.342008273,1.118342899,-3.029480627,0.2470739957,-1.763230403,1.558451791
2124,Malik Allen,2009,30.80166466,1610612749,Milwaukee Bucks,-1.988514234,-2.643099221,0.654584987,-3.442504772,-1.159877321,-2.026250152,1.494646243
2124,Malik Allen,2010,31.84207644,1610612743,Denver Nuggets,-4.45999231,-3.444779138,-1.015213172,-3.731851083,-1.115608065,-3.237686405,-0.9717584505
2124,Malik Allen,2011,32.83594349,1610612753,Orlando Magic,-4.48649211,-4.010394151,-0.4760979596,-3.813687196,-0.5197332514,-4.148701027,-0.4576896803
2128,David Vanterpool,2001,28.07742854,1610612764,Washington Wizards,-1.936519749,-1.678444161,-0.2580755878,-1.739942573,-0.2926124415,-0.8802817779,0.01086811437
2130,Mike Penberthy,2001,26.3826525,1610612747,Los Angeles Lakers,-1.393176462,0.05612690664,-1.449303369,0.1050094686,-1.257006662,-0.2474914907,-2.165937057
2130,Mike Penberthy,2002,26.94666521,1610612747,Los Angeles Lakers,-1.030089517,0.1776492377,-1.207738755,0.2313752106,-0.9796924673,-0.1471752656,-2.034992519
2137,Ime Udoka,2004,26.45383857,1610612747,Los Angeles Lakers,-2.159494834,-1.666498923,-0.4929959101,-1.667154831,-0.4921969181,-1.44786297,-0.6527943236
2137,Ime Udoka,2006,28.69346183,1610612752,New York Knicks,-2.273777849,-1.821794958,-0.4519828916,-1.829529812,-0.4500813842,-1.468605272,-0.5040789854
2137,Ime Udoka,2007,29.69006681,1610612757,Portland Trail Blazers,-0.2379333604,-0.1631453569,-0.07478800353,-0.09584390406,0.4049946246,-0.3234441609,-0.7604366325
2137,Ime Udoka,2008,30.80440258,1610612759,San Antonio Spurs,0.9621835278,-0.1832889531,1.145472481,0.05176037011,0.8117566318,-0.5153733319,1.428362435
2137,Ime Udoka,2009,31.71886978,1610612759,San Antonio Spurs,0.4615894053,-1.095063467,1.556652872,-1.166537478,1.099246552,-1.016795824,1.857182649
2137,Ime Udoka,2010,32.6771438,1610612758,Sacramento Kings,-0.8006394233,-0.9890953145,0.1884558912,-1.286296767,0.3270539664,-0.7193902894,0.1129907203
2137,Ime Udoka,2011,33.40543204,1610612759,San Antonio Spurs,-1.237096882,-1.762758194,0.5256613111,-1.640085897,0.9500220678,-1.871713071,0.29951649
2143,Pepe Sanchez,2001,23.94589859,1610612755,Philadelphia 76ers,-1.924669202,-2.035294636,0.1106254337,-2.037502887,0.1449035256,-1.957264547,-0.6161185654
2143,Pepe Sanchez,2003,25.93910853,1610612765,Detroit Pistons,-2.224402304,-2.225763419,0.001361114967,-2.240218013,0.01197925486,-1.812184192,-0.1809245485
2173,Sean Colson,2001,25.79673639,1610612745,Houston Rockets,-1.900497052,-0.6233218166,-1.277175236,-0.6166515882,-1.278093117,-1.473032436,-1.207018735
2198,Kwame Brown,2002,20.10185084,1610612764,Washington Wizards,-2.192302024,-2.030591542,-0.1617104824,-2.007019076,-0.0980022686,-2.188161503,-0.4172247089
2198,Kwame Brown,2003,21.10119374,1610612764,Washington Wizards,-1.545097021,-1.615321332,0.07022431022,-1.400836187,-0.02342782172,-2.070510517,0.1894757516
2198,Kwame Brown,2004,22.09779871,1610612764,Washington Wizards,-0.6246466687,-0.7475001796,0.1228535109,-0.4950937216,-0.2229275875,-1.024946135,0.3509036994
2198,Kwame Brown,2005,23.17927938,1610612764,Washington Wizards,-2.655477499,-2.43978601,-0.2156914896,-2.205108871,-0.1078909328,-2.654122605,-0.2747656827
2198,Kwame Brown,2006,24.15671887,1610612747,Los Angeles Lakers,-1.294947911,-1.847066783,0.5521188724,-1.387112432,0.4863472365,-2.152542211,0.5783279323
2198,Kwame Brown,2007,25.14511006,1610612747,Los Angeles Lakers,-0.1298368001,-1.518379808,1.388543008,-1.867347608,1.217958882,-1.318969636,1.447028993
2198,Kwame Brown,2008,26.10338408,1610612763,Memphis Grizzlies,-0.6450207361,-2.143696593,1.498675857,-2.027825016,1.584946143,-2.204779689,1.471388806
2198,Kwame Brown,2009,27.13010623,1610612765,Detroit Pistons,-0.8606958555,-2.546339557,1.685643701,-2.995829565,1.115669222,-2.330332056,1.849988306
